id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data_inversa;;horario;;dia_semana;
25;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';08/01/2018;***;12:45:00;',';segunda-feira;"');"
26;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';09/01/2018;***;06:40:00;',';terça-feira;"');"
27;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';09/01/2018;***;12:00:00;',';terça-feira;"');"
28;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';09/01/2018;***;12:50:00;',';terça-feira;"');"
29;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';09/01/2018;***;14:30:00;',';terça-feira;"');"
30;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';09/01/2018;***;17:15:00;',';terça-feira;"');"
31;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';09/01/2018;***;17:45:00;',';terça-feira;"');"
32;,';Condutor Dormindo;',';Colisão traseira;',';Sem Vítimas;',';10/01/2018;***;01:30:00;',';quarta-feira;"');"
33;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';10/01/2018;***;18:25:00;',';quarta-feira;"');"
34;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Sem Vítimas;',';10/01/2018;***;11:10:00;',';quarta-feira;"');"
35;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';11/01/2018;***;07:10:00;',';quinta-feira;"');"
36;,';Ultrapassagem Indevida;',';Tombamento;',';Sem Vítimas;',';11/01/2018;***;07:15:00;',';quinta-feira;"');"
37;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Sem Vítimas;',';11/01/2018;***;12:30:00;',';quinta-feira;"');"
38;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';11/01/2018;***;19:40:00;',';quinta-feira;"');"
39;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';11/01/2018;***;20:15:00;',';quinta-feira;"');"
40;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';11/01/2018;***;23:50:00;',';quinta-feira;"');"
41;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;00:40:00;',';sexta-feira;"');"
42;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;08:00:00;',';sexta-feira;"');"
43;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;09:26:00;',';sexta-feira;"');"
44;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';12/01/2018;***;15:45:00;',';sexta-feira;"');"
45;,';Ultrapassagem Indevida;',';Tombamento;',';Com Vítimas Feridas;',';12/01/2018;***;16:10:00;',';sexta-feira;"');"
46;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';13/01/2018;***;00:10:00;',';sábado;"');"
47;,';Ingestão de Álcool;',';Colisão transversal;',';Com Vítimas Fatais;',';13/01/2018;***;03:50:00;',';sábado;"');"
48;,';Ingestão de Álcool;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';13/01/2018;***;09:00:00;',';sábado;"');"
49;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';13/01/2018;***;09:00:00;',';sábado;"');"
50;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';13/01/2018;***;11:50:00;',';sábado;"');"
51;,';Mal Súbito;',';Colisão frontal;',';Com Vítimas Feridas;',';13/01/2018;***;11:50:00;',';sábado;"');"
52;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';15/01/2018;***;18:10:00;',';segunda-feira;"');"
53;,';Defeito Mecânico no Veículo;',';Danos eventuais;',';Sem Vítimas;',';15/01/2018;***;20:35:00;',';segunda-feira;"');"
54;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';15/01/2018;***;22:49:00;',';segunda-feira;"');"
55;,';Defeito Mecânico no Veículo;',';Colisão frontal;',';Com Vítimas Feridas;',';16/01/2018;***;00:50:00;',';terça-feira;"');"
56;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';15/01/2018;***;23:10:00;',';segunda-feira;"');"
57;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Sem Vítimas;',';16/01/2018;***;06:50:00;',';terça-feira;"');"
58;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';16/01/2018;***;01:30:00;',';terça-feira;"');"
59;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';17/01/2018;***;05:20:00;',';quarta-feira;"');"
60;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Fatais;',';17/01/2018;***;06:30:00;',';quarta-feira;"');"
61;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';17/01/2018;***;08:25:00;',';quarta-feira;"');"
62;,';Velocidade Incompatível;',';Colisão lateral;',';Com Vítimas Feridas;',';17/01/2018;***;08:50:00;',';quarta-feira;"');"
63;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';17/01/2018;***;09:35:00;',';quarta-feira;"');"
64;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';17/01/2018;***;12:45:00;',';quarta-feira;"');"
65;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';17/01/2018;***;16:50:00;',';quarta-feira;"');"
66;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';17/01/2018;***;17:40:00;',';quarta-feira;"');"
67;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';17/01/2018;***;11:10:00;',';quarta-feira;"');"
68;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';17/01/2018;***;13:15:00;',';quarta-feira;"');"
69;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',';17/01/2018;***;14:00:00;',';quarta-feira;"');"
70;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';17/01/2018;***;22:50:00;',';quarta-feira;"');"
71;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';18/01/2018;***;09:00:00;',';quinta-feira;"');"
72;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Sem Vítimas;',';18/01/2018;***;14:15:00;',';quinta-feira;"');"
73;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';18/01/2018;***;15:15:00;',';quinta-feira;"');"
74;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';19/01/2018;***;15:50:00;',';sexta-feira;"');"
75;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',';19/01/2018;***;23:00:00;',';sexta-feira;"');"
76;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';20/01/2018;***;00:40:00;',';sábado;"');"
77;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';20/01/2018;***;06:30:00;',';sábado;"');"
78;,';Restrição de Visibilidade;',';Colisão traseira;',';Sem Vítimas;',';20/01/2018;***;11:30:00;',';sábado;"');"
79;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';20/01/2018;***;18:05:00;',';sábado;"');"
80;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';01/01/2018;***;19:25:00;',';segunda-feira;"');"
81;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';21/01/2018;***;12:00:00;',';domingo;"');"
82;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';21/01/2018;***;08:40:00;',';domingo;"');"
83;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';22/01/2018;***;07:45:00;',';segunda-feira;"');"
84;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';22/01/2018;***;14:50:00;',';segunda-feira;"');"
85;,';Pista Escorregadia;',';Colisão lateral;',';Sem Vítimas;',';22/01/2018;***;14:30:00;',';segunda-feira;"');"
86;,';Velocidade Incompatível;',';Colisão transversal;',';Com Vítimas Feridas;',';22/01/2018;***;13:00:00;',';segunda-feira;"');"
87;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';22/01/2018;***;16:30:00;',';segunda-feira;"');"
88;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';23/01/2018;***;02:25:00;',';terça-feira;"');"
89;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';23/01/2018;***;10:15:00;',';terça-feira;"');"
90;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';23/01/2018;***;16:45:00;',';terça-feira;"');"
91;,';Não guardar distância de segurança;',';Colisão frontal;',';Sem Vítimas;',';23/01/2018;***;14:30:00;',';terça-feira;"');"
92;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';23/01/2018;***;17:30:00;',';terça-feira;"');"
93;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Sem Vítimas;',';24/01/2018;***;07:20:00;',';quarta-feira;"');"
94;,';Velocidade Incompatível;',';Derramamento de carga;',';Sem Vítimas;',';24/01/2018;***;14:00:00;',';quarta-feira;"');"
95;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';24/01/2018;***;19:10:00;',';quarta-feira;"');"
96;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';25/01/2018;***;06:15:00;',';quinta-feira;"');"
97;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';25/01/2018;***;11:45:00;',';quinta-feira;"');"
98;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';25/01/2018;***;13:30:00;',';quinta-feira;"');"
99;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';26/01/2018;***;01:35:00;',';sexta-feira;"');"
100;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';26/01/2018;***;05:50:00;',';sexta-feira;"');"
101;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';26/01/2018;***;07:20:00;',';sexta-feira;"');"
102;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';26/01/2018;***;15:35:00;',';sexta-feira;"');"
103;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';26/01/2018;***;17:10:00;',';sexta-feira;"');"
104;,';Falta de Atenção à Condução;',';Capotamento;',';Com Vítimas Feridas;',';27/01/2018;***;06:40:00;',';sábado;"');"
105;,';Ingestão de Álcool;',';Colisão com objeto estático;',';Sem Vítimas;',';27/01/2018;***;07:40:00;',';sábado;"');"
106;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';27/01/2018;***;15:00:00;',';sábado;"');"
107;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';27/01/2018;***;17:55:00;',';sábado;"');"
108;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';29/01/2018;***;08:20:00;',';segunda-feira;"');"
109;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';29/01/2018;***;11:55:00;',';segunda-feira;"');"
110;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';29/01/2018;***;19:50:00;',';segunda-feira;"');"
111;,';Animais na Pista;',';Colisão transversal;',';Sem Vítimas;',';19/01/2018;***;17:30:00;',';sexta-feira;"');"
112;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';30/01/2018;***;01:45:00;',';terça-feira;"');"
113;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';30/01/2018;***;14:20:00;',';terça-feira;"');"
114;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Sem Vítimas;',';30/01/2018;***;15:30:00;',';terça-feira;"');"
115;,';Defeito na Via;',';Colisão lateral;',';Sem Vítimas;',';31/01/2018;***;08:45:00;',';quarta-feira;"');"
116;,';Ultrapassagem Indevida;',';Colisão lateral;',';Sem Vítimas;',';31/01/2018;***;09:45:00;',';quarta-feira;"');"
117;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';31/01/2018;***;14:15:00;',';quarta-feira;"');"
118;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';31/01/2018;***;14:40:00;',';quarta-feira;"');"
119;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';01/02/2018;***;11:09:00;',';quinta-feira;"');"
120;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Fatais;',';01/02/2018;***;11:30:00;',';quinta-feira;"');"
121;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';01/02/2018;***;17:45:00;',';quinta-feira;"');"
122;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';02/02/2018;***;04:00:00;',';sexta-feira;"');"
123;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';02/02/2018;***;09:00:00;',';sexta-feira;"');"
124;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';02/02/2018;***;17:25:00;',';sexta-feira;"');"
125;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';03/02/2018;***;01:00:00;',';sábado;"');"
126;,';Desobediência às normas de trânsito pelo condutor;',';Colisão lateral;',';Sem Vítimas;',';03/02/2018;***;13:20:00;',';sábado;"');"
127;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';03/02/2018;***;21:30:00;',';sábado;"');"
128;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Feridas;',';04/02/2018;***;06:10:00;',';domingo;"');"
129;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';04/02/2018;***;16:45:00;',';domingo;"');"
130;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Com Vítimas Feridas;',';04/02/2018;***;18:30:00;',';domingo;"');"
131;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';05/02/2018;***;07:30:00;',';segunda-feira;"');"
132;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',';05/02/2018;***;22:20:00;',';segunda-feira;"');"
133;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';06/02/2018;***;01:00:00;',';terça-feira;"');"
134;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';06/02/2018;***;00:30:00;',';terça-feira;"');"
135;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',';06/02/2018;***;07:00:00;',';terça-feira;"');"
136;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';06/02/2018;***;08:30:00;',';terça-feira;"');"
137;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';06/02/2018;***;11:20:00;',';terça-feira;"');"
138;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';06/02/2018;***;16:20:00;',';terça-feira;"');"
139;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';06/02/2018;***;17:45:00;',';terça-feira;"');"
140;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Feridas;',';06/02/2018;***;18:08:00;',';terça-feira;"');"
141;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';07/02/2018;***;11:35:00;',';quarta-feira;"');"
142;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';07/02/2018;***;10:30:00;',';quarta-feira;"');"
143;,';Velocidade Incompatível;',';Colisão frontal;',';Sem Vítimas;',';07/02/2018;***;13:25:00;',';quarta-feira;"');"
144;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';07/02/2018;***;14:20:00;',';quarta-feira;"');"
145;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';07/02/2018;***;18:15:00;',';quarta-feira;"');"
146;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';08/02/2018;***;06:41:00;',';quinta-feira;"');"
147;,';Condutor Dormindo;',';Colisão traseira;',';Com Vítimas Feridas;',';08/02/2018;***;08:00:00;',';quinta-feira;"');"
148;,';Pista Escorregadia;',';Saída de leito carroçável;',';Sem Vítimas;',';08/02/2018;***;15:00:00;',';quinta-feira;"');"
149;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';08/02/2018;***;19:20:00;',';quinta-feira;"');"
150;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';09/02/2018;***;01:20:00;',';sexta-feira;"');"
151;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';09/02/2018;***;03:30:00;',';sexta-feira;"');"
152;,';Não guardar distância de segurança;',';Colisão frontal;',';Com Vítimas Feridas;',';09/02/2018;***;05:40:00;',';sexta-feira;"');"
153;,';Velocidade Incompatível;',';Colisão traseira;',';Sem Vítimas;',';09/02/2018;***;20:10:00;',';sexta-feira;"');"
154;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',';10/02/2018;***;04:20:00;',';sábado;"');"
155;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Sem Vítimas;',';10/02/2018;***;18:15:00;',';sábado;"');"
156;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/02/2018;***;02:45:00;',';segunda-feira;"');"
157;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',';12/02/2018;***;12:20:00;',';segunda-feira;"');"
158;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Sem Vítimas;',';12/02/2018;***;16:10:00;',';segunda-feira;"');"
159;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';14/02/2018;***;06:25:00;',';quarta-feira;"');"
160;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';14/02/2018;***;15:45:00;',';quarta-feira;"');"
161;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';14/02/2018;***;23:00:00;',';quarta-feira;"');"
162;,';Defeito Mecânico no Veículo;',';Tombamento;',';Sem Vítimas;',';14/02/2018;***;20:40:00;',';quarta-feira;"');"
163;,';Falta de Atenção à Condução;',';Engavetamento;',';Com Vítimas Feridas;',';15/02/2018;***;08:15:00;',';quinta-feira;"');"
164;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';15/02/2018;***;16:40:00;',';quinta-feira;"');"
165;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';15/02/2018;***;19:00:00;',';quinta-feira;"');"
166;,';Ingestão de Álcool;',';Colisão transversal;',';Sem Vítimas;',';16/02/2018;***;04:30:00;',';sexta-feira;"');"
167;,';Falta de Atenção à Condução;',';Colisão com objeto estático;',';Sem Vítimas;',';15/02/2018;***;18:30:00;',';quinta-feira;"');"
168;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Fatais;',';16/02/2018;***;07:30:00;',';sexta-feira;"');"
169;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';16/02/2018;***;08:00:00;',';sexta-feira;"');"
170;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';16/02/2018;***;06:30:00;',';sexta-feira;"');"
171;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Fatais;',';16/02/2018;***;09:55:00;',';sexta-feira;"');"
172;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Fatais;',';16/02/2018;***;17:32:00;',';sexta-feira;"');"
173;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';16/02/2018;***;18:20:00;',';sexta-feira;"');"
174;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';16/02/2018;***;19:30:00;',';sexta-feira;"');"
175;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';17/02/2018;***;01:00:00;',';sábado;"');"
176;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';17/02/2018;***;14:30:00;',';sábado;"');"
177;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';18/02/2018;***;23:25:00;',';domingo;"');"
178;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Fatais;',';19/02/2018;***;04:40:00;',';segunda-feira;"');"
179;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';19/02/2018;***;05:20:00;',';segunda-feira;"');"
180;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';19/02/2018;***;07:10:00;',';segunda-feira;"');"
181;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';19/02/2018;***;13:30:00;',';segunda-feira;"');"
182;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Sem Vítimas;',';19/02/2018;***;14:30:00;',';segunda-feira;"');"
183;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';19/02/2018;***;16:35:00;',';segunda-feira;"');"
184;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';20/02/2018;***;07:55:00;',';terça-feira;"');"
185;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';20/02/2018;***;07:00:00;',';terça-feira;"');"
186;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';20/02/2018;***;14:30:00;',';terça-feira;"');"
187;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';20/02/2018;***;17:30:00;',';terça-feira;"');"
188;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';20/02/2018;***;09:30:00;',';terça-feira;"');"
189;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';20/02/2018;***;19:30:00;',';terça-feira;"');"
190;,';Defeito Mecânico no Veículo;',';Tombamento;',';Com Vítimas Fatais;',';21/02/2018;***;07:20:00;',';quarta-feira;"');"
191;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';21/02/2018;***;04:30:00;',';quarta-feira;"');"
192;,';Sinalização da via insuficiente ou inadequada;',';Colisão traseira;',';Com Vítimas Feridas;',';24/01/2018;***;14:55:00;',';quarta-feira;"');"
193;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';21/02/2018;***;07:00:00;',';quarta-feira;"');"
194;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';21/02/2018;***;18:15:00;',';quarta-feira;"');"
195;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Sem Vítimas;',';22/02/2018;***;06:50:00;',';quinta-feira;"');"
196;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';22/02/2018;***;09:25:00;',';quinta-feira;"');"
197;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';22/02/2018;***;13:40:00;',';quinta-feira;"');"
198;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';22/02/2018;***;15:30:00;',';quinta-feira;"');"
199;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';22/02/2018;***;15:50:00;',';quinta-feira;"');"
