id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data;;horario;;dia_semana;
56;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Sem Vítimas;',';05/01/2018;***;14:18:00;',';sexta-feira;"');"
57;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Feridas;',';05/01/2018;***;14:45:00;',';sexta-feira;"');"
58;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Com Vítimas Feridas;',';05/01/2018;***;15:00:00;',';sexta-feira;"');"
59;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';05/01/2018;***;10:20:00;',';sexta-feira;"');"
60;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';05/01/2018;***;16:40:00;',';sexta-feira;"');"
61;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Com Vítimas Feridas;',';05/01/2018;***;17:35:00;',';sexta-feira;"');"
62;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Fatais;',';05/01/2018;***;19:25:00;',';sexta-feira;"');"
63;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Com Vítimas Feridas;',';05/01/2018;***;22:45:00;',';sexta-feira;"');"
64;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';06/01/2018;***;00:50:00;',';sábado;"');"
65;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',';06/01/2018;***;04:20:00;',';sábado;"');"
66;,';Condutor Dormindo;',';Colisão transversal;',';Com Vítimas Feridas;',';06/01/2018;***;04:10:00;',';sábado;"');"
67;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';06/01/2018;***;09:15:00;',';sábado;"');"
68;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';06/01/2018;***;10:35:00;',';sábado;"');"
69;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';06/01/2018;***;10:15:00;',';sábado;"');"
70;,';Ingestão de Álcool;',';Saída de leito carroçável;',';Sem Vítimas;',';06/01/2018;***;12:30:00;',';sábado;"');"
71;,';Defeito Mecânico no Veículo;',';Capotamento;',';Com Vítimas Fatais;',';06/01/2018;***;12:00:00;',';sábado;"');"
72;,';Defeito Mecânico no Veículo;',';Colisão com objeto estático;',';Sem Vítimas;',';06/01/2018;***;12:50:00;',';sábado;"');"
73;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',';06/01/2018;***;15:10:00;',';sábado;"');"
74;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',';06/01/2018;***;13:05:00;',';sábado;"');"
75;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';06/01/2018;***;14:55:00;',';sábado;"');"
76;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';07/01/2018;***;11:20:00;',';domingo;"');"
77;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';07/01/2018;***;17:30:00;',';domingo;"');"
78;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';07/01/2018;***;18:15:00;',';domingo;"');"
79;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';07/01/2018;***;20:00:00;',';domingo;"');"
80;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Sem Vítimas;',';07/01/2018;***;23:15:00;',';domingo;"');"
81;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',';08/01/2018;***;00:51:00;',';segunda-feira;"');"
82;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';08/01/2018;***;00:10:00;',';segunda-feira;"');"
83;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',';07/01/2018;***;23:20:00;',';domingo;"');"
84;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';08/01/2018;***;06:45:00;',';segunda-feira;"');"
85;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';08/01/2018;***;07:40:00;',';segunda-feira;"');"
86;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';04/01/2018;***;12:50:00;',';quinta-feira;"');"
87;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';08/01/2018;***;09:45:00;',';segunda-feira;"');"
88;,';Mal Súbito;',';Colisão transversal;',';Sem Vítimas;',';08/01/2018;***;10:03:00;',';segunda-feira;"');"
89;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';08/01/2018;***;11:30:00;',';segunda-feira;"');"
90;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',';08/01/2018;***;12:40:00;',';segunda-feira;"');"
91;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';08/01/2018;***;12:40:00;',';segunda-feira;"');"
92;,';Carga excessiva e/ou mal acondicionada;',';Saída de leito carroçável;',';Sem Vítimas;',';08/01/2018;***;13:00:00;',';segunda-feira;"');"
93;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';08/01/2018;***;14:10:00;',';segunda-feira;"');"
94;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',';08/01/2018;***;14:00:00;',';segunda-feira;"');"
95;,';Velocidade Incompatível;',';Derramamento de carga;',';Sem Vítimas;',';08/01/2018;***;12:50:00;',';segunda-feira;"');"
96;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';08/01/2018;***;15:30:00;',';segunda-feira;"');"
97;,';Falta de Atenção à Condução;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',';08/01/2018;***;15:55:00;',';segunda-feira;"');"
98;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';08/01/2018;***;15:20:00;',';segunda-feira;"');"
99;,';Ultrapassagem Indevida;',';Engavetamento;',';Sem Vítimas;',';08/01/2018;***;10:30:00;',';segunda-feira;"');"
100;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';08/01/2018;***;12:45:00;',';segunda-feira;"');"
101;,';Ultrapassagem Indevida;',';Colisão lateral;',';Sem Vítimas;',';08/01/2018;***;21:20:00;',';segunda-feira;"');"
102;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';09/01/2018;***;02:30:00;',';terça-feira;"');"
103;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';09/01/2018;***;06:40:00;',';terça-feira;"');"
104;,';Carga excessiva e/ou mal acondicionada;',';Danos eventuais;',';Sem Vítimas;',';09/01/2018;***;06:45:00;',';terça-feira;"');"
105;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';09/01/2018;***;09:50:00;',';terça-feira;"');"
106;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';09/01/2018;***;10:30:00;',';terça-feira;"');"
107;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';09/01/2018;***;10:45:00;',';terça-feira;"');"
108;,';Ultrapassagem Indevida;',';Colisão lateral;',';Sem Vítimas;',';09/01/2018;***;09:20:00;',';terça-feira;"');"
109;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';09/01/2018;***;12:00:00;',';terça-feira;"');"
110;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';09/01/2018;***;12:20:00;',';terça-feira;"');"
111;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';09/01/2018;***;12:50:00;',';terça-feira;"');"
112;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';09/01/2018;***;14:30:00;',';terça-feira;"');"
113;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';09/01/2018;***;17:15:00;',';terça-feira;"');"
114;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',';09/01/2018;***;17:45:00;',';terça-feira;"');"
115;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';09/01/2018;***;12:55:00;',';terça-feira;"');"
116;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';10/01/2018;***;11:30:00;',';quarta-feira;"');"
117;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';10/01/2018;***;09:01:00;',';quarta-feira;"');"
118;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';10/01/2018;***;09:55:00;',';quarta-feira;"');"
119;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',';10/01/2018;***;09:45:00;',';quarta-feira;"');"
120;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';10/01/2018;***;10:30:00;',';quarta-feira;"');"
121;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',';10/01/2018;***;07:00:00;',';quarta-feira;"');"
122;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',';10/01/2018;***;13:50:00;',';quarta-feira;"');"
123;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';10/01/2018;***;14:20:00;',';quarta-feira;"');"
124;,';Condutor Dormindo;',';Colisão traseira;',';Sem Vítimas;',';10/01/2018;***;01:30:00;',';quarta-feira;"');"
125;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';10/01/2018;***;16:25:00;',';quarta-feira;"');"
126;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';10/01/2018;***;16:00:00;',';quarta-feira;"');"
127;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',';06/01/2018;***;12:50:00;',';sábado;"');"
128;,';Defeito Mecânico no Veículo;',';Colisão com objeto estático;',';Sem Vítimas;',';10/01/2018;***;15:50:00;',';quarta-feira;"');"
129;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';10/01/2018;***;17:59:00;',';quarta-feira;"');"
130;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';10/01/2018;***;17:45:00;',';quarta-feira;"');"
131;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';10/01/2018;***;18:25:00;',';quarta-feira;"');"
132;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',';10/01/2018;***;18:35:00;',';quarta-feira;"');"
133;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';10/01/2018;***;08:00:00;',';quarta-feira;"');"
134;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';10/01/2018;***;06:00:00;',';quarta-feira;"');"
135;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';04/01/2018;***;00:35:00;',';quinta-feira;"');"
136;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Sem Vítimas;',';10/01/2018;***;11:10:00;',';quarta-feira;"');"
137;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';10/01/2018;***;18:50:00;',';quarta-feira;"');"
138;,';Defeito Mecânico no Veículo;',';Tombamento;',';Sem Vítimas;',';10/01/2018;***;23:50:00;',';quarta-feira;"');"
139;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',';11/01/2018;***;03:40:00;',';quinta-feira;"');"
140;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Fatais;',';11/01/2018;***;05:20:00;',';quinta-feira;"');"
141;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',';11/01/2018;***;06:00:00;',';quinta-feira;"');"
142;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',';11/01/2018;***;03:00:00;',';quinta-feira;"');"
143;,';Falta de Atenção à Condução;',';Derramamento de carga;',';Sem Vítimas;',';11/01/2018;***;06:45:00;',';quinta-feira;"');"
144;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',';11/01/2018;***;07:10:00;',';quinta-feira;"');"
145;,';Ultrapassagem Indevida;',';Tombamento;',';Sem Vítimas;',';11/01/2018;***;07:15:00;',';quinta-feira;"');"
146;,';Não guardar distância de segurança;',';Tombamento;',';Sem Vítimas;',';10/01/2018;***;08:40:00;',';quarta-feira;"');"
147;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',';11/01/2018;***;04:38:00;',';quinta-feira;"');"
148;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',';11/01/2018;***;09:10:00;',';quinta-feira;"');"
149;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';09/01/2018;***;21:15:00;',';terça-feira;"');"
150;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';11/01/2018;***;10:50:00;',';quinta-feira;"');"
151;,';Não guardar distância de segurança;',';Engavetamento;',';Sem Vítimas;',';11/01/2018;***;10:12:00;',';quinta-feira;"');"
152;,';Velocidade Incompatível;',';Colisão com objeto em movimento;',';Sem Vítimas;',';11/01/2018;***;10:30:00;',';quinta-feira;"');"
153;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';11/01/2018;***;12:35:00;',';quinta-feira;"');"
154;,';Avarias e/ou desgaste excessivo no pneu;',';Saída de leito carroçável;',';Sem Vítimas;',';11/01/2018;***;12:30:00;',';quinta-feira;"');"
155;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',';11/01/2018;***;13:20:00;',';quinta-feira;"');"
156;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';11/01/2018;***;16:20:00;',';quinta-feira;"');"
157;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';11/01/2018;***;18:50:00;',';quinta-feira;"');"
158;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';11/01/2018;***;19:40:00;',';quinta-feira;"');"
159;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';11/01/2018;***;20:15:00;',';quinta-feira;"');"
160;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';11/01/2018;***;23:50:00;',';quinta-feira;"');"
161;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;00:40:00;',';sexta-feira;"');"
162;,';Defeito Mecânico no Veículo;',';Tombamento;',';Com Vítimas Feridas;',';11/01/2018;***;23:40:00;',';quinta-feira;"');"
163;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';12/01/2018;***;06:00:00;',';sexta-feira;"');"
164;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;06:00:00;',';sexta-feira;"');"
165;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',';03/01/2018;***;01:00:00;',';quarta-feira;"');"
166;,';Velocidade Incompatível;',';Tombamento;',';Sem Vítimas;',';12/01/2018;***;06:30:00;',';sexta-feira;"');"
167;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Fatais;',';01/01/2018;***;14:45:00;',';segunda-feira;"');"
168;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;08:00:00;',';sexta-feira;"');"
169;,';Mal Súbito;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';12/01/2018;***;09:26:00;',';sexta-feira;"');"
170;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';12/01/2018;***;12:00:00;',';sexta-feira;"');"
171;,';Defeito Mecânico no Veículo;',';Tombamento;',';Sem Vítimas;',';12/01/2018;***;12:20:00;',';sexta-feira;"');"
172;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';12/01/2018;***;14:20:00;',';sexta-feira;"');"
173;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';12/01/2018;***;15:45:00;',';sexta-feira;"');"
174;,';Ultrapassagem Indevida;',';Tombamento;',';Com Vítimas Feridas;',';12/01/2018;***;16:10:00;',';sexta-feira;"');"
175;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';09/01/2018;***;18:25:00;',';terça-feira;"');"
176;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',';12/01/2018;***;17:00:00;',';sexta-feira;"');"
177;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',';12/01/2018;***;17:00:00;',';sexta-feira;"');"
178;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',';12/01/2018;***;20:22:00;',';sexta-feira;"');"
179;,';Não guardar distância de segurança;',';Engavetamento;',';Com Vítimas Feridas;',';03/01/2018;***;07:50:00;',';quarta-feira;"');"
180;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';12/01/2018;***;15:20:00;',';sexta-feira;"');"
181;,';Velocidade Incompatível;',';Capotamento;',';Sem Vítimas;',';12/01/2018;***;10:30:00;',';sexta-feira;"');"
182;,';Não guardar distância de segurança;',';Colisão com objeto estático;',';Sem Vítimas;',';12/01/2018;***;19:40:00;',';sexta-feira;"');"
183;,';Condutor Dormindo;',';Saída de leito carroçável;',';Com Vítimas Feridas;',';13/01/2018;***;00:10:00;',';sábado;"');"
184;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',';13/01/2018;***;01:40:00;',';sábado;"');"
185;,';Ingestão de Álcool;',';Colisão transversal;',';Com Vítimas Fatais;',';13/01/2018;***;03:50:00;',';sábado;"');"
186;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Fatais;',';13/01/2018;***;06:10:00;',';sábado;"');"
187;,';Ingestão de Álcool;',';Colisão com objeto estático;',';Com Vítimas Feridas;',';13/01/2018;***;09:00:00;',';sábado;"');"
188;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',';13/01/2018;***;09:00:00;',';sábado;"');"
189;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';13/01/2018;***;11:50:00;',';sábado;"');"
190;,';Carga excessiva e/ou mal acondicionada;',';Tombamento;',';Com Vítimas Feridas;',';13/01/2018;***;12:15:00;',';sábado;"');"
191;,';Mal Súbito;',';Colisão frontal;',';Com Vítimas Feridas;',';13/01/2018;***;11:50:00;',';sábado;"');"
192;,';Condutor Dormindo;',';Tombamento;',';Com Vítimas Feridas;',';09/01/2018;***;07:20:00;',';terça-feira;"');"
193;,';Ingestão de Álcool;',';Colisão traseira;',';Sem Vítimas;',';13/01/2018;***;12:25:00;',';sábado;"');"
194;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',';10/01/2018;***;05:50:00;',';quarta-feira;"');"
195;,';Ingestão de Álcool;',';Tombamento;',';Sem Vítimas;',';06/01/2018;***;22:00:00;',';sábado;"');"
196;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',';13/01/2018;***;14:00:00;',';sábado;"');"
197;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',';13/01/2018;***;16:30:00;',';sábado;"');"
198;,';Velocidade Incompatível;',';Colisão traseira;',';Sem Vítimas;',';13/01/2018;***;21:50:00;',';sábado;"');"
199;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';13/01/2018;***;23:00:00;',';sábado;"');"
200;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',';14/01/2018;***;01:15:00;',';domingo;"');"
201;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',';09/01/2018;***;23:00:00;',';terça-feira;"');"
