id_Acidente;;causa_acidente;;tipo_acidente;;classificacao_acidente;;data;;dia_semana;;horario;;
21;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';02/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';20:05:00;"');";
22;,';Condutor Dormindo;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';03:15:00;"');";
23;,';Condutor Dormindo;',';Tombamento;',';Sem Vítimas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';03:00:00;"');";
24;,';Restrição de Visibilidade;',';Engavetamento;',';Sem Vítimas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';07:30:00;"');";
25;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';08:40:00;"');";
26;,';Defeito na Via;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';10:30:00;"');";
27;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';12:45:00;"');";
28;,';Restrição de Visibilidade;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';12:30:00;"');";
29;,';Objeto estático sobre o leito carroçável;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';16:10:00;"');";
30;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';17:20:00;"');";
31;,';Condutor Dormindo;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';15:30:00;"');";
32;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';18:50:00;"');";
33;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';19:00:00;"');";
34;,';Ultrapassagem Indevida;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';21:55:00;"');";
35;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';03/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';21:20:00;"');";
36;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';06:50:00;"');";
37;,';Condutor Dormindo;',';Capotamento;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';04:29:00;"');";
38;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';10:00:00;"');";
39;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';10:30:00;"');";
40;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';11:05:00;"');";
41;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';09:00:00;"');";
42;,';Não guardar distância de segurança;',';Engavetamento;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';10:50:00;"');";
43;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';09:40:00;"');";
44;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';12:30:00;"');";
45;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';14:00:00;"');";
46;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';15:30:00;"');";
47;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';17:45:00;"');";
48;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Com Vítimas Feridas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';16:30:00;"');";
49;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';19:10:00;"');";
50;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';00:30:00;"');";
51;,';Condutor Dormindo;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';01:40:00;"');";
52;,';Ingestão de Álcool;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';02:25:00;"');";
53;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';04:00:00;"');";
54;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';05:50:00;"');";
55;,';Desobediência às normas de trânsito pelo condutor;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';12:10:00;"');";
56;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Sem Vítimas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';14:18:00;"');";
57;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';14:45:00;"');";
58;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';15:00:00;"');";
59;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';10:20:00;"');";
60;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';16:40:00;"');";
61;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';17:35:00;"');";
62;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Fatais;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';19:25:00;"');";
63;,';Defeito Mecânico no Veículo;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';05/01/2018;','DD/MM/YYYY'),';sexta-feira;',TIME(';22:45:00;"');";
64;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';00:50:00;"');";
65;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';04:20:00;"');";
66;,';Condutor Dormindo;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';04:10:00;"');";
67;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';09:15:00;"');";
68;,';Falta de Atenção do Pedestre;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';10:35:00;"');";
69;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';10:15:00;"');";
70;,';Ingestão de Álcool;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';12:30:00;"');";
71;,';Defeito Mecânico no Veículo;',';Capotamento;',';Com Vítimas Fatais;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';12:00:00;"');";
72;,';Defeito Mecânico no Veículo;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';12:50:00;"');";
73;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';15:10:00;"');";
74;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';13:05:00;"');";
75;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';14:55:00;"');";
76;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';07/01/2018;','DD/MM/YYYY'),';domingo;',TIME(';11:20:00;"');";
77;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';07/01/2018;','DD/MM/YYYY'),';domingo;',TIME(';17:30:00;"');";
78;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';07/01/2018;','DD/MM/YYYY'),';domingo;',TIME(';18:15:00;"');";
79;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',TO_DATE(';07/01/2018;','DD/MM/YYYY'),';domingo;',TIME(';20:00:00;"');";
80;,';Falta de Atenção à Condução;',';Colisão com objeto em movimento;',';Sem Vítimas;',TO_DATE(';07/01/2018;','DD/MM/YYYY'),';domingo;',TIME(';23:15:00;"');";
81;,';Ingestão de Álcool;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';00:51:00;"');";
82;,';Falta de Atenção à Condução;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';00:10:00;"');";
83;,';Desobediência às normas de trânsito pelo condutor;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';07/01/2018;','DD/MM/YYYY'),';domingo;',TIME(';23:20:00;"');";
84;,';Carga excessiva e/ou mal acondicionada;',';Derramamento de carga;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';06:45:00;"');";
85;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';07:40:00;"');";
86;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';12:50:00;"');";
87;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';09:45:00;"');";
88;,';Mal Súbito;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';10:03:00;"');";
89;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';11:30:00;"');";
90;,';Velocidade Incompatível;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';12:40:00;"');";
91;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';12:40:00;"');";
92;,';Carga excessiva e/ou mal acondicionada;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';13:00:00;"');";
93;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';14:10:00;"');";
94;,';Falta de Atenção à Condução;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';14:00:00;"');";
95;,';Velocidade Incompatível;',';Derramamento de carga;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';12:50:00;"');";
96;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';15:30:00;"');";
97;,';Falta de Atenção à Condução;',';Atropelamento de Pedestre;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';15:55:00;"');";
98;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';15:20:00;"');";
99;,';Ultrapassagem Indevida;',';Engavetamento;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';10:30:00;"');";
100;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';12:45:00;"');";
101;,';Ultrapassagem Indevida;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';08/01/2018;','DD/MM/YYYY'),';segunda-feira;',TIME(';21:20:00;"');";
102;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';02:30:00;"');";
103;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';06:40:00;"');";
104;,';Carga excessiva e/ou mal acondicionada;',';Danos eventuais;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';06:45:00;"');";
105;,';Falta de Atenção à Condução;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';09:50:00;"');";
106;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';10:30:00;"');";
107;,';Velocidade Incompatível;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';10:45:00;"');";
108;,';Ultrapassagem Indevida;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';09:20:00;"');";
109;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:00:00;"');";
110;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:20:00;"');";
111;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:50:00;"');";
112;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';14:30:00;"');";
113;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';17:15:00;"');";
114;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';17:45:00;"');";
115;,';Não guardar distância de segurança;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';12:55:00;"');";
116;,';Falta de Atenção à Condução;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';11:30:00;"');";
117;,';Falta de Atenção à Condução;',';Tombamento;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';09:01:00;"');";
118;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';09:55:00;"');";
119;,';Velocidade Incompatível;',';Colisão frontal;',';Com Vítimas Feridas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';09:45:00;"');";
120;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';10:30:00;"');";
121;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';07:00:00;"');";
122;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';13:50:00;"');";
123;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';14:20:00;"');";
124;,';Condutor Dormindo;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';01:30:00;"');";
125;,';Desobediência às normas de trânsito pelo condutor;',';Colisão transversal;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';16:25:00;"');";
126;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';16:00:00;"');";
127;,';Defeito Mecânico no Veículo;',';Incêndio;',';Sem Vítimas;',TO_DATE(';06/01/2018;','DD/MM/YYYY'),';sábado;',TIME(';12:50:00;"');";
128;,';Defeito Mecânico no Veículo;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';15:50:00;"');";
129;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';17:59:00;"');";
130;,';Falta de Atenção à Condução;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';17:45:00;"');";
131;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';18:25:00;"');";
132;,';Defeito Mecânico no Veículo;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';18:35:00;"');";
133;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';08:00:00;"');";
134;,';Falta de Atenção à Condução;',';Colisão transversal;',';Com Vítimas Feridas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';06:00:00;"');";
135;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';04/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';00:35:00;"');";
136;,';Defeito Mecânico no Veículo;',';Colisão lateral;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';11:10:00;"');";
137;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';18:50:00;"');";
138;,';Defeito Mecânico no Veículo;',';Tombamento;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';23:50:00;"');";
139;,';Velocidade Incompatível;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';03:40:00;"');";
140;,';Condutor Dormindo;',';Colisão frontal;',';Com Vítimas Fatais;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';05:20:00;"');";
141;,';Velocidade Incompatível;',';Tombamento;',';Com Vítimas Feridas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';06:00:00;"');";
142;,';Velocidade Incompatível;',';Colisão com objeto estático;',';Sem Vítimas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';03:00:00;"');";
143;,';Falta de Atenção à Condução;',';Derramamento de carga;',';Sem Vítimas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';06:45:00;"');";
144;,';Falta de Atenção à Condução;',';Colisão lateral;',';Com Vítimas Feridas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';07:10:00;"');";
145;,';Ultrapassagem Indevida;',';Tombamento;',';Sem Vítimas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';07:15:00;"');";
146;,';Não guardar distância de segurança;',';Tombamento;',';Sem Vítimas;',TO_DATE(';10/01/2018;','DD/MM/YYYY'),';quarta-feira;',TIME(';08:40:00;"');";
147;,';Condutor Dormindo;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';04:38:00;"');";
148;,';Não guardar distância de segurança;',';Colisão traseira;',';Sem Vítimas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';09:10:00;"');";
149;,';Falta de Atenção à Condução;',';Saída de leito carroçável;',';Sem Vítimas;',TO_DATE(';09/01/2018;','DD/MM/YYYY'),';terça-feira;',TIME(';21:15:00;"');";
150;,';Falta de Atenção à Condução;',';Colisão traseira;',';Com Vítimas Feridas;',TO_DATE(';11/01/2018;','DD/MM/YYYY'),';quinta-feira;',TIME(';10:50:00;"');";
